=============new================
,0.18,0.19,0.2,0.21,0.22,0.23,0.24
0.18, 0, 5, 5, 5, 3, 7, 4
0.19, 5, 0, 0, 0, 0, 0, 0
0.2, 5, 0, 0, 0, 0, 0, 0
0.21, 5, 0, 0, 0, 0, 0, 0
0.22, 7, 0, 0, 0, 0, 0, 0
0.23, 3, 0, 0, 0, 0, 0, 0
0.24, 6, 0, 0, 0, 0, 0, 0
=============new================
,0.18,0.19,0.2,0.21,0.22,0.23,0.24
0.18, 0, 9, 5, 5, 3, 7, 4
0.19, 11, 0, 4, 7, 4, 6, 4
0.2, 5, 6, 0, 0, 0, 0, 0
0.21, 5, 3, 0, 0, 0, 0, 0
0.22, 7, 6, 0, 0, 0, 0, 0
0.23, 3, 4, 0, 0, 0, 0, 0
0.24, 6, 6, 0, 0, 0, 0, 0
=============new================
,0.18,0.19,0.2,0.21,0.22,0.23,0.24
0.18, 0, 9, 12, 5, 3, 7, 4
0.19, 11, 0, 9, 7, 4, 6, 4
0.2, 8, 11, 0, 5, 4, 2, 5
0.21, 5, 3, 5, 0, 0, 0, 0
0.22, 7, 6, 6, 0, 0, 0, 0
0.23, 3, 4, 8, 0, 0, 0, 0
0.24, 6, 6, 5, 0, 0, 0, 0
=============new================
,0.18,0.19,0.2,0.21,0.22,0.23,0.24
0.18, 0, 9, 12, 12, 3, 7, 4
0.19, 11, 0, 9, 14, 4, 6, 4
0.2, 8, 11, 0, 11, 4, 2, 5
0.21, 8, 6, 9, 0, 5, 2, 7
0.22, 7, 6, 6, 5, 0, 0, 0
0.23, 3, 4, 8, 8, 0, 0, 0
0.24, 6, 6, 5, 3, 0, 0, 0
=============new================
,0.18,0.19,0.2,0.21,0.22,0.23,0.24
0.18, 0, 9, 12, 12, 8, 7, 4
0.19, 11, 0, 9, 14, 13, 6, 4
0.2, 8, 11, 0, 11, 9, 2, 5
0.21, 8, 6, 9, 0, 12, 2, 7
0.22, 12, 7, 11, 8, 0, 5, 4
0.23, 3, 4, 8, 8, 5, 0, 0
0.24, 6, 6, 5, 3, 6, 0, 0
=============new================
,0.18,0.19,0.2,0.21,0.22,0.23,0.24
0.18, 0, 9, 12, 12, 8, 11, 4
0.19, 11, 0, 9, 14, 13, 14, 4
0.2, 8, 11, 0, 11, 9, 7, 5
0.21, 8, 6, 9, 0, 12, 6, 7
0.22, 12, 7, 11, 8, 0, 10, 4
0.23, 9, 6, 13, 14, 10, 0, 6
0.24, 6, 6, 5, 3, 6, 4, 0
=============new================
,0.18,0.19,0.2,0.21,0.22,0.23,0.24
0.18, 0, 9, 12, 12, 8, 11, 10
0.19, 11, 0, 9, 14, 13, 14, 9
0.2, 8, 11, 0, 11, 9, 7, 11
0.21, 8, 6, 9, 0, 12, 6, 13
0.22, 12, 7, 11, 8, 0, 10, 8
0.23, 9, 6, 13, 14, 10, 0, 10
0.24, 10, 11, 9, 7, 12, 10, 0
